20260908
"Ranking" "Birthday" "Fortune" "Number of Attempts"
1 1229 very_lucky 2
2 0921 very_lucky 3
3 0124 very_lucky 5
3 0426 very_lucky 5
5 0922 very_lucky 6
5 1015 very_lucky 6
7 1130 very_lucky 7
8 0101 very_lucky 9
8 0423 very_lucky 9
8 1005 very_lucky 9
11 0529 very_lucky 12
12 1014 very_lucky 16
13 1002 very_lucky 23
14 0513 very_lucky 32
14 1012 very_lucky 32
14 1013 very_lucky 32
17 0622 very_lucky 33
18 0822 very_lucky 35
19 1119 lucky 38
20 1120 lucky 41
21 0712 lucky 46
22 0222 lucky 51
22 0816 lucky 51
24 0328 lucky 56
25 0317 lucky 61
26 1116 lucky 65
27 0729 lucky 67
28 0614 lucky 68
28 0728 lucky 68
30 0511 lucky 69
31 0928 lucky 74
32 0208 lucky 77
33 0603 lucky 78
34 0129 lucky 79
34 1124 lucky 79
36 0313 lucky 80
37 0201 lucky 83
38 0620 lucky 84
39 0726 lucky 86
40 0413 lucky 87
41 0419 lucky 90
42 0206 lucky 92
43 0204 lucky 93
44 0918 lucky 100
44 1003 lucky 100
46 0906 lucky 102
47 0624 lucky 104
47 1207 lucky 104
49 0104 lucky 106
49 0720 lucky 106
51 0512 lucky 111
52 0827 lucky 114
53 0809 lucky 117
54 0508 lucky 123
54 0611 lucky 123
56 1107 lucky 125
57 0904 lucky 126
57 1006 lucky 126
59 0105 lucky 130
60 0730 lucky 136
61 1218 lucky 137
62 0716 lucky 140
63 0818 lucky 142
63 0826 lucky 142
65 0315 lucky 146
66 1222 lucky 147
67 0121 lucky 148
68 0214 lucky 155
68 0601 lucky 155
70 0627 lucky 156
71 0323 lucky 159
72 1101 lucky 161
73 0516 a_bit_lucky 162
73 1128 a_bit_lucky 162
75 0608 a_bit_lucky 164
76 0914 a_bit_lucky 165
76 1108 a_bit_lucky 165
78 0125 a_bit_lucky 166
79 0127 a_bit_lucky 167
80 0205 a_bit_lucky 168
80 0215 a_bit_lucky 168
82 0911 a_bit_lucky 173
83 0427 a_bit_lucky 174
83 1112 a_bit_lucky 174
85 0314 a_bit_lucky 182
85 0505 a_bit_lucky 182
87 0106 a_bit_lucky 183
88 1210 a_bit_lucky 189
89 0503 a_bit_lucky 192
90 1202 a_bit_lucky 193
91 0722 a_bit_lucky 200
92 1104 a_bit_lucky 206
93 0619 a_bit_lucky 207
94 0701 a_bit_lucky 210
95 0912 a_bit_lucky 212
96 0705 a_bit_lucky 219
97 0417 a_bit_lucky 225
98 1209 a_bit_lucky 226
99 0221 a_bit_lucky 230
100 0430 a_bit_lucky 231
101 0331 a_bit_lucky 235
102 0907 a_bit_lucky 236
103 0421 a_bit_lucky 243
104 0703 a_bit_lucky 244
105 0530 a_bit_lucky 245
106 0806 a_bit_lucky 247
107 0131 a_bit_lucky 251
108 1110 a_bit_lucky 252
109 0310 a_bit_lucky 253
110 0228 a_bit_lucky 258
111 0203 a_bit_lucky 268
112 0706 a_bit_lucky 269
112 0804 a_bit_lucky 269
114 0225 a_bit_lucky 270
115 0415 a_bit_lucky 272
115 0802 a_bit_lucky 272
